        Frequency / GHz                S1,1/abs,dB
                 3.53318                      -17.482235
                 3.53339                      -17.411974
               3.5336001                      -17.342301
               3.5338099                      -17.273211
               3.5340199                      -17.204693
                 3.53423                      -17.136739
                 3.53444                       -17.06934
               3.5346501                      -17.002488
               3.5348599                      -16.936177
               3.5350699                      -16.870396
                 3.53528                      -16.805137
                 3.53549                      -16.740396
               3.5357001                      -16.676163
               3.5359099                      -16.612431
               3.5361199                      -16.549195
                 3.53633                      -16.486446
                 3.53654                      -16.424177
               3.5367501                      -16.362382
               3.5369599                      -16.301056
               3.5371699                       -16.24019
                 3.53738                      -16.179779
                 3.53759                      -16.119817
               3.5378001                      -16.060298
               3.5380099                      -16.001217
               3.5382199                      -15.942567
                 3.53843                      -15.884342
                 3.53864                      -15.826538
               3.5388501                      -15.769147
               3.5390601                      -15.712167
               3.5392699                      -15.655591
                 3.53948                      -15.599413
                 3.53969                       -15.54363
               3.5399001                      -15.488237
               3.5401101                      -15.433227
               3.5403199                      -15.378596
                 3.54053                      -15.324341
                 3.54074                      -15.270457
               3.5409501                      -15.216938
               3.5411601                      -15.163781
               3.5413699                      -15.110981
                 3.54158                      -15.058533
                 3.54179                      -15.006434
               3.5420001                       -14.95468
               3.5422101                      -14.903266
               3.5424199                      -14.852189
                 3.54263                      -14.801447
                 3.54284                      -14.751032
               3.5430501                      -14.700942
               3.5432601                      -14.651174
               3.5434699                      -14.601724
                 3.54368                      -14.552587
                 3.54389                      -14.503763
                  3.5441                      -14.455246
               3.5443101                      -14.407033
               3.5445199                       -14.35912
               3.5447299                      -14.311504
                 3.54494                      -14.264183
                 3.54515                      -14.217152
               3.5453601                      -14.170411
               3.5455699                      -14.123954
               3.5457799                      -14.077778
                 3.54599                      -14.031882
                  3.5462                      -13.986261
               3.5464101                      -13.940914
               3.5466199                      -13.895838
               3.5468299                      -13.851027
                 3.54704                      -13.806483
                 3.54725                      -13.762201
               3.5474601                      -13.718177
               3.5476699                       -13.67441
               3.5478799                      -13.630898
                 3.54809                      -13.587637
                  3.5483                      -13.544626
               3.5485101                      -13.501862
               3.5487199                      -13.459341
               3.5489299                      -13.417062
                 3.54914                      -13.375023
                 3.54935                      -13.333222
               3.5495601                      -13.291654
               3.5497701                      -13.250321
               3.5499799                      -13.209217
                 3.55019                      -13.168342
                  3.5504                      -13.127693
               3.5506101                      -13.087268
               3.5508201                      -13.047065
               3.5510299                      -13.007082
                 3.55124                      -12.967317
                 3.55145                      -12.927768
               3.5516601                      -12.888432
               3.5518701                      -12.849308
               3.5520799                      -12.810394
                 3.55229                      -12.771689
                  3.5525                       -12.73319
               3.5527101                      -12.694894
               3.5529201                      -12.656802
               3.5531299                      -12.618911
                 3.55334                      -12.581217
                 3.55355                      -12.543723
               3.5537601                      -12.506423
               3.5539701                      -12.469317
               3.5541799                      -12.432403
                 3.55439                      -12.395679
                  3.5546                      -12.359145
                 3.55481                      -12.322798
               3.5550201                      -12.286636
               3.5552299                      -12.250659
               3.5554399                      -12.214864
                 3.55565                       -12.17925
                 3.55586                      -12.143815
               3.5560701                      -12.108558
               3.5562799                      -12.073479
               3.5564899                      -12.038573
                  3.5567                      -12.003843
                 3.55691                      -11.969283
               3.5571201                      -11.934894
               3.5573299                      -11.900675
               3.5575399                      -11.866624
                 3.55775                       -11.83274
                 3.55796                      -11.799023
               3.5581701                      -11.765468
               3.5583799                      -11.732075
               3.5585899                      -11.698844
                  3.5588                      -11.665774
                 3.55901                      -11.632863
               3.5592201                       -11.60011
               3.5594299                      -11.567512
               3.5596399                       -11.53507
                 3.55985                      -11.502781
                 3.56006                      -11.470646
               3.5602701                      -11.438663
               3.5604801                       -11.40683
               3.5606899                      -11.375147
                  3.5609                      -11.343611
                 3.56111                      -11.312223
               3.5613201                       -11.28098
               3.5615301                      -11.249884
               3.5617399                       -11.21893
                 3.56195                       -11.18812
                 3.56216                      -11.157451
               3.5623701                      -11.126923
               3.5625801                      -11.096534
               3.5627899                      -11.066286
                   3.563                      -11.036173
                 3.56321                      -11.006197
               3.5634201                      -10.976357
               3.5636301                      -10.946653
               3.5638399                      -10.917081
                 3.56405                      -10.887643
                 3.56426                      -10.858335
               3.5644701                      -10.829159
               3.5646801                      -10.800114
               3.5648899                      -10.771196
                  3.5651                      -10.742408
                 3.56531                      -10.713746
                 3.56552                      -10.685209
               3.5657301                        -10.6568
               3.5659399                      -10.628516
                 3.56615                      -10.600353
                 3.56636                      -10.572314
                 3.56657                      -10.544398
               3.5667801                      -10.516602
               3.5669899                      -10.488927
               3.5671999                      -10.461371
                 3.56741                      -10.433933
                 3.56762                      -10.406615
               3.5678301                      -10.379413
               3.5680399                      -10.352328
               3.5682499                      -10.325359
                 3.56846                      -10.298505
                 3.56867                      -10.271763
               3.5688801                      -10.245135
               3.5690899                       -10.21862
               3.5692999                      -10.192217
                 3.56951                      -10.165924
                 3.56972                      -10.139742
               3.5699301                      -10.113671
               3.5701399                      -10.087708
               3.5703499                      -10.061853
                 3.57056                      -10.036106
                 3.57077                      -10.010465
               3.5709801                      -9.9849309
               3.5711901                      -9.9595022
               3.5713999                      -9.9341777
                 3.57161                      -9.9089583
                 3.57182                      -9.8838425
               3.5720301                      -9.8588292
               3.5722401                      -9.8339186
               3.5724499                      -9.8091082
                 3.57266                      -9.7843998
                 3.57287                      -9.7597909
