        Frequency / GHz                Power Accepted/real
                 3.51764                      0.49687883
                 3.51785                      0.49679268
                 3.51806                       0.4967053
                 3.51827                      0.49661668
                 3.51848                      0.49652682
                 3.51869                      0.49643574
                  3.5189                      0.49634342
                 3.51911                      0.49624988
                 3.51932                      0.49615511
                 3.51953                      0.49605911
                 3.51974                      0.49596189
                 3.51995                      0.49586345
                 3.52016                       0.4957638
                 3.52037                      0.49566292
                 3.52058                      0.49556084
                 3.52079                      0.49545753
                   3.521                      0.49535302
                 3.52121                       0.4952473
                 3.52142                      0.49514038
                 3.52163                      0.49503224
                 3.52184                      0.49492291
                 3.52205                      0.49481238
                 3.52226                      0.49470064
                 3.52247                      0.49458772
                 3.52268                       0.4944736
                 3.52289                      0.49435828
                  3.5231                      0.49424178
                 3.52331                      0.49412409
                 3.52352                      0.49400522
                 3.52373                      0.49388516
                 3.52394                      0.49376392
                 3.52415                      0.49364151
                 3.52436                      0.49351792
                 3.52457                      0.49339316
                 3.52478                      0.49326722
                 3.52499                      0.49314012
                  3.5252                      0.49301185
                 3.52541                      0.49288242
                 3.52562                      0.49275183
                 3.52583                      0.49262008
                 3.52604                      0.49248717
                 3.52625                      0.49235311
                 3.52646                       0.4922179
                 3.52667                      0.49208154
                 3.52688                      0.49194403
                 3.52709                      0.49180538
                  3.5273                      0.49166559
                 3.52751                      0.49152466
                 3.52772                       0.4913826
                 3.52793                       0.4912394
                 3.52814                      0.49109507
                 3.52835                      0.49094962
                 3.52856                      0.49080303
                 3.52877                      0.49065533
                 3.52898                      0.49050651
                 3.52919                      0.49035657
                  3.5294                      0.49020552
                 3.52961                      0.49005335
                 3.52982                      0.48990008
                 3.53003                       0.4897457
                 3.53024                      0.48959022
                 3.53045                      0.48943363
                 3.53066                      0.48927595
                 3.53087                      0.48911718
                 3.53108                      0.48895731
                 3.53129                      0.48879636
                  3.5315                      0.48863432
                 3.53171                       0.4884712
                 3.53192                      0.48830699
                 3.53213                      0.48814171
                 3.53234                      0.48797536
                 3.53255                      0.48780793
                 3.53276                      0.48763944
                 3.53297                      0.48746988
                 3.53318                      0.48729926
                 3.53339                      0.48712758
                  3.5336                      0.48695485
                 3.53381                      0.48678106
                 3.53402                      0.48660622
                 3.53423                      0.48643034
                 3.53444                      0.48625341
                 3.53465                      0.48607544
                 3.53486                      0.48589643
                 3.53507                      0.48571639
                 3.53528                      0.48553532
                 3.53549                      0.48535322
                  3.5357                      0.48517009
                 3.53591                      0.48498595
                 3.53612                      0.48480078
                 3.53633                       0.4846146
                 3.53654                      0.48442741
                 3.53675                      0.48423921
                 3.53696                         0.48405
                 3.53717                      0.48385979
                 3.53738                      0.48366858
                 3.53759                      0.48347638
                  3.5378                      0.48328318
